symbol,famtyp,ipoage,firmage,assets,famstyle,ceoname,ceo_fam,beceo,tenure,ceopattern,duality,ceo_own,ins_own,secfifshare,firstshare,control_own,power_dev
4,3,28,33,1494490266,2,é»__,nofamily,2019,0,1,1,0,44.099998,16.93,28.43,22.267,0.4948
5,2,29,29,3031840976,2,____,family,2007,12,1,0,0,24.456301,9.1899996,17.41,21.940001,1
7,3,27,31,533693420.9,2,__³¢,nofamily,2019,0,0,0,0,33.299999,19.719999,21.65,17.5182,0.76770002
10,1,24,31,4291660034,2,_¨æ__,nofamily,2019,0,1,0,0,45.123001,18.34,14.57,15.62,1
20,3,27,27,614163899.9,2,__¸­ç§,family,2007,12,0,1,1,55.687801,13.5,42.130001,42.130001,1
23,1,26,35,2519404048,2,___æ¶,family,2019,0,1,1,0,42.747101,16.41,27.389999,27.389999,1
34,1,25,26,29420902442,2,_¸º,family,2018,1,1,1,23.66,25.238199,26.549999,23.66,23.66,1
35,3,25,25,47296911052,2,_¹å¾·_,nofamily,2014,5,0,0,0,56.176399,19.870001,16.200001,22.91,1
38,3,25,25,2917164238,2,_²å__,nofamily,2019,0,1,1,0,19.1733,43.759998,21.42,52.774502,0.96270001
40,3,25,25,30987232191,2,_¢å_ä¹,nofamily,2019,0,1,1,0,49.907902,7.5900002,39.040001,29.24,0.74900001
42,1,25,25,45141526985,2,å½_ä¸,nofamily,2018,1,1,0,0,73.707497,18.26,49.77,45.0294,0.90469998
46,1,25,30,1.78E+11,2,å®__è°,nofamily,2019,0,1,0,0,79.492401,9.3900003,68.489998,55.026798,0.77249998
48,3,25,25,6471993600,2,å·´æ_,nofamily,2018,1,0,0,0,73.490799,36.450001,41.650002,64.349998,0.89999998
55,1,23,25,11369964580,1,__»º_,family,2002,17,1,1,0.17,24.819,15.44,10.22,18.087,0.92189997
56,1,23,26,12456959665,2,___æµ,nofamily,2010,9,1,0,0.22,60.293701,36.619999,21.73,27.4324,0.54089999
62,1,22,25,11350473383,2,_¡æ_å®,nofamily,2014,5,1,1,0.059999999,73.8396,6.96,70.760002,37.8442,0.53479999
68,3,22,22,3786291400,2,é»__,family,2019,0,1,1,0,47.0359,21.860001,26.48,16.1437,0.60970002
78,3,21,27,41168283719,1,å¼__,family,2019,0,1,0,0.050000001,47.870998,3.1900001,44.029999,28.542,0.80809999
150,3,19,26,5951875682,2,__£®_,family,2016,3,0,0,0,48.7938,21.1,37.040001,29.632,0.80000001
153,1,19,22,3559614533,2,_¢å_,nofamily,2016,3,1,0,0,32.669998,19.27,11.48,13.0484,0.45770001
159,1,19,20,2817079343,2,ä¸_²»å¹,nofamily,2017,2,1,1,0,24.93,3.4200001,24.67,24.67,1
301,3,19,21,35042252671,2,ç¼__,family,2018,1,0,1,0,82.450401,12.72,68.709999,42.963699,0.62510002
333,3,6,19,3.02E+11,1,_¹æ´ªæ³,nofamily,2013,6,1,1,1.96,62.9356,23.42,31.73,30.6507,0.94660002
408,3,23,23,9562175770,2,___,family,2016,3,0,0,0,69.417,34.93,43.080002,73.385803,0.99739999
413,3,23,27,67760453708,2,_¡æ_å¹,nofamily,2019,0,0,0,0,32.120201,12.4,15.97,4.9531002,0.22750001
416,1,23,26,935368998.5,2,___,nofamily,2014,5,0,0,0,23.114599,2.4400001,22.559999,17.4028,0.77139997
426,3,23,25,9269385281,2,____,family,2011,8,0,0,0,51.218498,25.09,30.27,30.27,1
502,1,27,28,246871600.4,2,___,nofamily,2019,0,1,0,0,33.2747,15.94,22.65,22.65,1
509,3,26,29,156865960.1,2,_´åä¸,nofamily,2017,2,1,0,0,31.3664,7.5100002,24.129999,24.129999,1
510,1,26,30,1610500689,2,å½_,nofamily,2019,0,1,0,0,16.9417,15.66,13.05,20.4652,0.96950001
513,3,26,27,17976463117,1,____,nofamily,2018,1,1,0,0.02,75.946297,30.959999,34.200001,21.7334,0.50590003
516,3,26,33,10031088456,2,___è½,nofamily,2015,4,1,0,0.029999999,31.621799,11.83,18.879999,19.189301,0.67259997
517,3,26,26,40012668956,2,____,family,2014,5,0,0,0,53.8069,35.330002,47.93,77.610001,1
518,2,26,27,915826035.1,2,å­__å»,nofamily,2007,12,1,1,0,11.5208,21.01,14,37.540001,1
520,1,26,27,622516373.5,2,___,nofamily,2011,8,1,0,0,39.056499,18.790001,17.889999,17.727301,0.99089998
525,3,26,28,13801586791,2,____,nofamily,2018,1,1,0,0,58.0895,13.17,45.84,36.6404,0.64899999
534,1,25,27,2062082761,2,æ¯_¤©_,nofamily,2018,1,1,0,0.039999999,57.215,16.4,42.279999,42.279999,1
540,1,25,26,1.20E+11,2,å¼__,nofamily,2012,7,1,0,0.16,54.907799,7.8000002,46.169998,34.535198,0.74800003
545,1,26,27,3091203866,2,å½__,nofamily,2013,6,0,0,0,40.011398,4.0500002,37.299999,27.878,0.74739999
546,3,26,26,9150860605,2,èµµè_,family,2018,1,1,1,0,48.6544,17.98,32.450001,32.9688,0.99839997
559,3,25,26,12028177341,2,__¹³ä¸,nofamily,2013,6,1,0,0,67.172699,7.7800002,56.509998,,
560,1,25,27,19491620922,2,è°¢å_,family,2015,4,0,1,5.52,45.325901,25,17.450001,21.225,0.92400002
566,1,25,27,10776931047,2,__µ·å¸,nofamily,2017,2,0,0,0,50.322601,28.700001,16.91,20.8242,0.83329999
567,1,25,27,6020868402,2,__²©_,nofamily,2018,1,0,0,0,76.248299,10.42,65.800003,73.0065,0.9698
572,1,25,26,10728940334,2,å­___,nofamily,2016,3,1,0,0,46.599998,16.49,28.799999,25.1558,0.73000002
573,1,25,27,2932765819,2,___å¼,nofamily,2007,12,0,0,0.50999999,22.3027,5.6900001,19.709999,19.512899,0.99000001
576,1,25,25,1585635910,2,_½æ°¸_,nofamily,2013,6,0,0,0,47.456501,7.5500002,41.549999,23.9086,0.55629998
584,2,24,29,4534081050,2,ä¹_¾½,family,2017,2,0,0,0,37.8829,20.950001,18.6,21.4758,0.71829998
592,3,23,26,4251015660,2,____,family,2019,0,1,0,0,30.0763,4.6700001,25.4,7.4675999,0.294
593,1,23,32,1986493780,2,__¼º,nofamily,2005,14,0,0,0,45.529999,16.780001,32,31.68,0.99000001
595,3,23,23,1524548101,2,__»º_,nofamily,2019,0,1,0,0.090000004,52.927601,1.22,52.130001,25.773001,0.52130002
597,1,23,26,12539828987,2,_¨å_,nofamily,2019,0,1,0,0.16,52.7752,28.559999,24.41,28.155001,0.9921
603,3,23,25,4347903781,2,__æ­,nofamily,2016,3,0,0,0,47.758099,17.709999,31.299999,27.5784,0.71350002
609,1,23,26,4202210105,2,è§£æ_,nofamily,2019,0,1,0,0,33.548302,9.3599997,23.77,23.532301,0.99000001
611,1,23,26,1705408116,2,_±å£«_,family,2018,1,1,1,0,12.67,7.9699998,11.84,8.8800001,0.75
612,1,23,26,7013209895,2,_¨ä__,nofamily,2008,11,1,0,0.07,61.2896,38.860001,17.299999,17.2948,0.99970001
613,1,22,26,87521184.25,2,è¢__å¹,nofamily,2018,1,1,1,0,21.630501,12.86,17.549999,,
615,3,23,23,10208205701,2,å¼_¥¥é¡,nofamily,2018,1,1,0,0,50.755199,14.23,37.040001,42.919998,1
620,1,23,26,53062284910,2,__°¸å¹,nofamily,2019,0,1,0,0,76.9272,12.98,61.169998,35.873699,0.57319999
622,1,23,26,316407777.8,1,___å¸,nofamily,2014,5,1,0,0,45.318802,26.98,17.99,20.299999,1
623,3,23,26,25800904916,2,___,family,2017,2,1,0,0.07,46.5965,13.93,26.65,1.9572999,0.086199999
626,1,23,25,6853027864,2,__³¢,nofamily,2018,1,1,1,2.21,56.752701,22.139999,38.59,35.888699,0.93000001
627,3,23,26,2.05E+11,2,____,nofamily,2007,12,1,0,0,52.1936,29.84,42.130001,61.489799,0.92769998
631,1,23,26,8350635736,2,__¾·å®,nofamily,2018,1,1,0,0,78.034302,16.040001,61.330002,,
633,2,23,29,1115529108,2,åº·è_,nofamily,2017,2,1,1,0,37.940701,18.51,20,20,1
637,3,23,31,1503269329,2,_¹å__,nofamily,2016,3,1,0,0,45.970501,17.92,29.5,9.8818998,0.33500001
638,1,23,26,528275795.9,2,ç«___,nofamily,2019,0,0,0,0,42.860001,6.2399998,37.689999,34.168201,0.9066
639,3,23,32,8140129890,2,___,nofamily,2015,4,0,1,0,65.551498,32.849998,29.700001,14.3237,0.27379999
650,3,23,23,4984426491,2,å¼__,nofamily,2013,6,1,0,0,26.862499,7.7800002,26.27,19.205999,0.73110002
